***,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,class
79,1.00E-05,5.27E-01,5.60E-05,9.98E-01,2.66E-05,5.84E-05,4.93E-05,2.14E-01,4.01E-01,4.65E-01,6.31E-01,9.96E-01,a
80,7.00E-06,5.28E-01,2.14E-04,1.03E+00,2.91E-05,9.83E-05,1.15E-04,2.11E-01,3.97E-01,4.62E-01,6.37E-01,1.03E+00,a
81,1.50E-05,5.29E-01,4.40E-05,9.94E-01,2.92E-05,5.40E-05,3.68E-05,2.16E-01,4.02E-01,4.65E-01,6.29E-01,9.89E-01,a
82,5.00E-06,5.26E-01,5.50E-05,1.04E+00,2.74E-05,5.34E-05,3.54E-05,2.04E-01,3.92E-01,4.56E-01,6.37E-01,1.04E+00,a
83,1.70E-05,5.33E-01,2.50E-05,1.02E+00,2.63E-05,4.65E-05,1.91E-05,2.06E-01,3.96E-01,4.60E-01,6.39E-01,1.02E+00,a
84,1.60E-05,5.34E-01,3.20E-05,1.02E+00,2.48E-05,4.48E-05,2.21E-05,2.05E-01,3.96E-01,4.61E-01,6.45E-01,1.01E+00,a
85,1.20E-05,5.29E-01,2.08E-04,1.03E+00,2.87E-05,9.89E-05,1.29E-04,2.09E-01,3.97E-01,4.58E-01,6.34E-01,1.03E+00,a
86,1.20E-05,5.26E-01,2.80E-05,1.01E+00,2.76E-05,4.76E-05,2.15E-05,2.11E-01,3.98E-01,4.63E-01,6.32E-01,1.00E+00,a
87,1.30E-05,5.33E-01,4.90E-05,9.90E-01,2.53E-05,5.28E-05,4.05E-05,2.17E-01,4.03E-01,4.62E-01,6.33E-01,9.82E-01,a
88,1.10E-05,5.32E-01,2.60E-05,9.95E-01,2.59E-05,4.56E-05,1.92E-05,2.16E-01,4.03E-01,4.63E-01,6.37E-01,9.92E-01,a
89,5.00E-06,5.29E-01,1.29E-04,9.95E-01,2.79E-05,7.19E-05,1.21E-04,2.14E-01,4.01E-01,4.64E-01,6.32E-01,9.90E-01,a
90,6.00E-06,5.30E-01,5.10E-05,9.96E-01,2.74E-05,5.60E-05,3.76E-05,2.16E-01,4.02E-01,4.64E-01,6.36E-01,9.94E-01,a
91,1.00E-06,5.27E-01,3.50E-05,9.91E-01,2.63E-05,5.04E-05,2.79E-05,2.15E-01,4.02E-01,4.62E-01,6.31E-01,9.88E-01,a
92,1.10E-05,5.25E-01,3.30E-05,1.01E+00,2.57E-05,5.02E-05,2.71E-05,2.15E-01,4.00E-01,4.60E-01,6.34E-01,1.01E+00,a
93,4.00E-06,5.27E-01,4.70E-05,1.01E+00,2.79E-05,5.37E-05,4.04E-05,2.10E-01,3.98E-01,4.62E-01,6.27E-01,1.00E+00,a
94,8.00E-06,5.29E-01,4.40E-05,1.01E+00,3.03E-05,5.60E-05,3.50E-05,2.14E-01,4.01E-01,4.62E-01,6.37E-01,1.00E+00,a
95,8.00E-06,5.26E-01,9.40E-05,9.95E-01,2.74E-05,7.46E-05,7.79E-05,2.15E-01,4.01E-01,4.60E-01,6.31E-01,9.90E-01,a
96,7.00E-06,5.31E-01,1.90E-05,1.01E+00,2.52E-05,4.44E-05,1.15E-05,2.06E-01,3.97E-01,4.62E-01,6.37E-01,1.00E+00,a
97,4.00E-06,5.33E-01,2.20E-05,9.79E-01,2.69E-05,4.39E-05,1.56E-05,2.11E-01,4.01E-01,4.65E-01,6.31E-01,9.74E-01,a
98,1.30E-05,5.31E-01,8.40E-05,9.95E-01,2.81E-05,6.61E-05,7.07E-05,2.16E-01,4.03E-01,4.62E-01,6.35E-01,9.89E-01,a
99,3.00E-06,5.26E-01,2.82E-04,1.01E+00,3.17E-05,1.17E-04,1.97E-04,2.05E-01,3.93E-01,4.56E-01,6.34E-01,1.01E+00,b
100,2.00E-06,5.26E-01,3.11E-04,1.03E+00,3.36E-05,1.40E-04,2.00E-04,2.02E-01,3.91E-01,4.56E-01,6.35E-01,1.03E+00,b
101,7.00E-06,5.33E-01,3.00E-05,9.92E-01,2.39E-05,4.56E-05,2.08E-05,2.16E-01,4.03E-01,4.67E-01,6.35E-01,9.91E-01,a
102,2.00E-06,5.29E-01,2.00E-05,9.71E-01,2.73E-05,4.37E-05,1.29E-05,2.05E-01,3.96E-01,4.59E-01,6.27E-01,9.63E-01,a
103,0.00E+00,5.29E-01,1.50E-05,9.82E-01,2.45E-05,4.39E-05,9.02E-06,2.09E-01,3.97E-01,4.64E-01,6.31E-01,9.77E-01,a
104,6.00E-06,5.27E-01,4.80E-05,1.02E+00,2.66E-05,5.24E-05,3.80E-05,2.10E-01,3.98E-01,4.59E-01,6.35E-01,1.02E+00,a
105,1.80E-05,5.28E-01,3.31E-04,1.02E+00,3.83E-05,1.41E-04,2.06E-04,2.09E-01,3.96E-01,4.59E-01,6.35E-01,1.02E+00,b
106,8.00E-06,5.28E-01,7.20E-05,1.00E+00,2.62E-05,5.58E-05,6.59E-05,2.16E-01,4.03E-01,4.63E-01,6.34E-01,9.99E-01,a
107,9.00E-06,5.22E-01,3.40E-05,1.01E+00,2.94E-05,5.29E-05,2.69E-05,2.07E-01,3.95E-01,4.59E-01,6.32E-01,1.01E+00,a
108,9.00E-06,5.26E-01,2.10E-05,1.04E+00,2.63E-05,4.69E-05,1.41E-05,2.04E-01,3.92E-01,4.57E-01,6.38E-01,1.04E+00,a
109,7.00E-06,5.26E-01,3.20E-05,1.02E+00,2.83E-05,4.94E-05,2.58E-05,2.13E-01,4.00E-01,4.60E-01,6.34E-01,1.01E+00,a
110,1.30E-05,5.29E-01,1.95E-04,1.02E+00,2.86E-05,9.45E-05,1.58E-04,2.09E-01,3.96E-01,4.60E-01,6.38E-01,1.03E+00,a
111,1.00E-05,5.31E-01,3.20E-05,9.99E-01,2.77E-05,4.88E-05,2.57E-05,2.16E-01,4.02E-01,4.67E-01,6.33E-01,9.94E-01,a
112,1.60E-05,5.29E-01,1.28E-04,1.04E+00,2.91E-05,7.53E-05,8.06E-05,2.09E-01,3.97E-01,4.55E-01,6.42E-01,1.04E+00,a
113,9.00E-06,5.27E-01,3.47E-04,1.02E+00,2.97E-05,1.40E-04,2.19E-04,2.10E-01,3.98E-01,4.61E-01,6.35E-01,1.02E+00,b
114,2.00E-06,5.41E-01,2.10E-05,1.07E+00,2.53E-05,4.55E-05,1.71E-05,2.23E-01,4.10E-01,4.70E-01,6.57E-01,1.07E+00,a
115,7.00E-06,5.36E-01,1.70E-05,1.01E+00,2.69E-05,4.29E-05,9.79E-06,2.15E-01,4.02E-01,4.65E-01,6.40E-01,1.01E+00,a
