***,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,class
1857014,1.69E-01,1.29E-06,1.09E-06,3.00E+00,2.00E-05,3.63E-02,3.84E-02,3.92E-02,6.27E+00,6.97E-01,8.54E-02,4.14E-02,b
1857015,1.60E-01,2.16E-06,1.43E-06,2.80E+00,3.60E-05,3.43E-02,3.62E-02,3.66E-02,6.27E+00,7.03E-01,8.59E-02,4.19E-02,b
1857016,1.80E-01,1.02E-06,1.83E-06,2.84E+00,2.60E-05,3.80E-02,4.03E-02,4.10E-02,6.28E+00,6.99E-01,8.55E-02,4.15E-02,b
1857017,1.69E-01,1.29E-06,1.29E-06,2.88E+00,5.60E-05,3.45E-02,3.61E-02,3.66E-02,6.25E+00,6.97E-01,8.49E-02,4.10E-02,b
1857018,1.73E-01,7.87E-07,2.44E-06,2.63E+00,2.60E-05,3.31E-02,3.47E-02,3.53E-02,6.27E+00,6.99E-01,8.56E-02,4.15E-02,b
1857019,1.73E-01,1.10E-06,1.54E-06,2.73E+00,3.60E-05,3.53E-02,3.67E-02,3.73E-02,6.22E+00,6.99E-01,8.54E-02,4.16E-02,b
1857020,1.79E-01,9.23E-07,2.38E-06,2.98E+00,1.86E-04,3.60E-02,3.81E-02,3.88E-02,6.27E+00,7.00E-01,8.57E-02,4.15E-02,b
1857021,1.66E-01,1.38E-06,1.87E-06,2.69E+00,4.80E-05,3.74E-02,3.94E-02,4.00E-02,6.24E+00,6.99E-01,8.51E-02,4.11E-02,b
1857022,1.68E-01,7.94E-07,1.73E-06,2.99E+00,4.50E-05,3.71E-02,3.85E-02,3.92E-02,6.27E+00,6.99E-01,8.57E-02,4.17E-02,b
1857023,1.73E-01,1.91E-06,1.71E-06,2.60E+00,3.70E-05,3.60E-02,3.80E-02,3.87E-02,6.27E+00,7.01E-01,8.56E-02,4.16E-02,b
1857024,1.62E-01,1.45E-06,2.00E-06,2.80E+00,4.50E-05,3.78E-02,4.00E-02,4.08E-02,6.28E+00,7.01E-01,8.54E-02,4.10E-02,b
1857025,1.70E-01,1.23E-06,2.58E-06,2.61E+00,4.70E-05,3.56E-02,3.74E-02,3.80E-02,6.28E+00,6.99E-01,8.51E-02,4.11E-02,b
1857026,1.66E-01,1.18E-06,1.61E-06,2.84E+00,4.30E-05,3.56E-02,3.82E-02,3.89E-02,6.26E+00,6.98E-01,8.51E-02,4.09E-02,b
1857027,1.75E-01,1.64E-06,1.16E-06,2.76E+00,4.10E-05,3.62E-02,3.77E-02,3.83E-02,6.24E+00,6.99E-01,8.58E-02,4.18E-02,b
1857028,1.62E-01,2.08E-06,1.48E-06,2.92E+00,2.60E-05,3.66E-02,3.86E-02,3.92E-02,6.26E+00,7.01E-01,8.58E-02,4.18E-02,b
1857029,1.75E-01,1.45E-06,2.14E-06,3.05E+00,4.70E-05,3.72E-02,3.91E-02,3.97E-02,6.26E+00,6.97E-01,8.55E-02,4.15E-02,b
1857030,1.73E-01,1.92E-06,1.87E-06,2.93E+00,5.10E-05,3.95E-02,4.12E-02,4.20E-02,6.27E+00,7.01E-01,8.63E-02,4.21E-02,b
